Category,x,y,z
2021-12-15 19:48:48,"0,17941","0,12286","0,15156"
2021-12-15 19:48:51,"0,17978","0,15625","0,1928"
2021-12-15 19:48:53,"0,14135","0,10818","0,26002"
2021-12-15 19:48:55,"0,17473","0,12058","0,13146"
2021-12-15 19:48:58,"0,15398","0,12925","0,15507"
2021-12-15 19:49:01,"0,17456","0,12313","0,17522"
2021-12-15 19:49:03,"0,14811","0,14633","0,14964"
2021-12-15 19:49:06,"0,14989","0,14962","0,18398"
2021-12-15 19:49:08,"0,14984","0,14159","0,1652"
2021-12-15 19:49:10,"0,14264","0,15573","0,2206"
2021-12-15 19:49:12,"0,16054","0,13513","0,17235"
2021-12-15 19:49:14,"0,1734","0,11471","0,16366"
2021-12-15 19:49:17,"0,15585","0,12082","0,14181"
2021-12-15 19:49:19,"0,16726","0,13476","0,15486"
2021-12-15 19:49:22,"0,17223","0,13131","0,15719"
2021-12-15 19:49:25,"0,13855","0,10766","0,15146"
2021-12-15 19:49:27,"0,16922","0,13305","0,16222"
2021-12-15 19:49:29,"0,19283","0,12652","0,17513"
2021-12-15 19:49:32,"0,17752","0,11345","0,19258"
2021-12-15 19:49:34,"0,29535","0,79472","0,20767"
2021-12-15 19:49:36,"0,18504","0,14169","0,14946"
2021-12-15 19:49:38,"0,7924","0,66185","0,65587"
2021-12-15 19:49:41,"0,62899","0,6525","0,43614"
2021-12-15 19:49:43,"0,79484","0,48616","0,74874"
2021-12-15 19:49:45,"0,76761","0,49753","0,79099"
2021-12-15 19:49:47,"0,42284","0,51211","0,40036"
2021-12-15 19:49:50,"0,80003","0,46676","0,65307"
2021-12-15 19:49:52,"0,80007","0,43307","0,53762"
2021-12-15 19:49:55,"0,70958","0,44832","0,53203"
2021-12-15 19:49:57,"0,61215","0,44761","0,46314"
2021-12-15 19:49:59,"0,74193","0,59609","0,60934"
2021-12-15 19:50:02,"0,19266","0,28643","0,19984"
2021-12-15 19:50:05,"0,20609","0,13051","0,22058"
2021-12-15 19:50:07,"0,15076","0,13849","0,17554"
2021-12-15 19:50:10,"0,25718","1,08777","0,2457"
2021-12-15 19:50:12,"0,20021","0,19662","0,1976"
2021-12-15 19:50:15,"1,1182","0,68387","0,68744"
2021-12-15 19:50:17,"1,19495","0,81311","0,69429"
2021-12-15 19:50:19,"1,06851","0,69873","0,82953"
2021-12-15 19:50:21,"0,65026","0,50842","0,49753"
2021-12-15 19:50:23,"0,4435","0,44573","0,40586"
2021-12-15 19:50:26,"0,81099","0,45969","0,41247"
2021-12-15 19:50:28,"0,50613","0,4203","0,48629"
2021-12-15 19:50:31,"1,31184","0,46687","0,78624"
2021-12-15 19:50:33,"0,65827","0,5007","0,53339"
2021-12-15 19:50:35,"0,80385","0,55953","0,39285"
2021-12-15 19:50:38,"0,20503","0,32199","0,2233"
2021-12-15 19:50:41,"0,18533","0,15581","0,17003"
2021-12-15 19:50:43,"0,26348","0,14414","0,18956"
2021-12-15 19:50:46,"0,23224","1,00901","0,15816"
2021-12-15 19:50:48,"0,16926","0,17313","0,17144"
2021-12-15 19:50:50,"1,47807","0,4295","0,90637"
2021-12-15 19:50:53,"1,2708","0,51572","0,73209"
2021-12-15 19:50:55,"1,12279","0,52698","0,69846"
2021-12-15 19:50:57,"0,81624","0,54731","0,67404"
2021-12-15 19:51:00,"0,76127","0,50216","0,54003"
2021-12-15 19:51:02,"1,24601","0,47945","0,72731"
2021-12-15 19:51:04,"1,09392","0,44406","0,67164"
2021-12-15 19:51:07,"0,62766","0,48043","0,43746"
2021-12-15 19:51:09,"1,01671","0,50424","0,55465"
2021-12-15 19:51:12,"0,98167","0,44822","0,77977"
2021-12-15 19:51:14,"0,15084","0,27846","0,15285"
2021-12-15 19:51:17,"0,16923","0,1288","0,17195"
2021-12-15 19:51:20,"0,15854","0,12176","0,1759"
2021-12-15 19:51:22,"0,36084","0,66004","0,22544"
2021-12-15 19:51:25,"0,56463","0,42251","0,52611"
2021-12-15 19:51:27,"0,84335","0,42246","0,73824"
2021-12-15 19:51:29,"0,37841","0,46904","0,38529"
2021-12-15 19:51:32,"1,20621","0,38503","0,90306"
2021-12-15 19:51:35,"0,8043","0,42703","0,58123"
2021-12-15 19:51:37,"1,4273","0,47661","0,91207"
2021-12-15 19:51:40,"1,50228","0,5452","0,93021"
2021-12-15 19:51:42,"1,363","0,47877","0,69048"
2021-12-15 19:51:44,"0,74611","0,49884","0,52527"
2021-12-15 19:51:47,"1,16784","0,50438","0,69796"
2021-12-15 19:51:49,"1,20034","0,55435","0,7696"
2021-12-15 19:51:52,"0,16536","0,27667","0,2236"
2021-12-15 19:51:54,"0,15438","0,15044","0,19139"
2021-12-15 19:51:57,"0,1919","0,15338","0,17005"
2021-12-15 19:51:59,"0,30407","1,10734","0,25252"
2021-12-15 19:52:01,"0,6587","0,17093","0,17905"
2021-12-15 19:52:03,"0,97018","0,54264","0,71258"
2021-12-15 19:52:05,"1,22197","0,51384","0,56133"
2021-12-15 19:52:07,"1,12867","0,49057","0,67358"
2021-12-15 19:52:10,"0,77864","0,57946","0,54208"
2021-12-15 19:52:13,"0,84266","0,55375","0,70972"
2021-12-15 19:52:15,"1,14022","0,4856","0,73983"
